date,raw_value,hamilton_trend,hamilton_cycle
2023-04-30,-3.6,-1.9955569223970926,-1.6044430776029075
2023-05-31,-4.6,-2.9773087585340283,-1.6226912414659713
2023-06-30,-5.4,-4.888533030754692,-0.5114669692453084
2023-07-31,-4.4,-1.1487297502906033,-3.251270249709397
2023-08-31,-3.0,-0.4846220933592227,-2.5153779066407775
2023-09-30,-2.5,0.2378339009295607,-2.7378339009295605
2023-10-31,-2.6,-0.30444666676099486,-2.2955533332390052
2023-11-30,-3.0,-2.0477678945393456,-0.9522321054606544
2023-12-31,-2.7,-2.8553239047668386,0.15532390476683844
2024-01-31,-2.5,-3.4324406776221315,0.9324406776221315
2024-02-29,-2.7,-3.3751560184561615,0.6751560184561614
2024-03-31,-2.8,-0.16657367502809173,-2.633426324971908
2024-04-30,-2.5,1.2261664521533397,-3.7261664521533397
2024-05-31,-1.4,1.4927985545567894,-2.8927985545567894
2024-06-30,-0.8,0.7791494791783693,-1.5791494791783693
2024-07-31,-0.8,-0.5976879098996486,-0.20231209010035145
2024-08-31,-1.8,0.06984653355192183,-1.8698465335519219
2024-09-30,-2.8,-0.20276372338891058,-2.5972362766110892
2024-10-31,-2.9,-0.32702285852257784,-2.572977141477422
2024-11-30,-2.5,-0.32064943165645765,-2.1793505683435423
2024-12-31,-2.3,0.07974422385985847,-2.3797442238598583
2025-01-31,-2.3,1.7913806680747637,-4.0913806680747635
2025-02-28,-2.2,1.607311813730532,-3.807311813730532
2025-03-31,-2.5,1.2855153634270045,-3.7855153634270042
2025-04-30,-2.7,-1.0448886797931722,-1.655111320206828
2025-05-31,-3.3,-1.9442080978820924,-1.3557919021179075
2025-06-30,-3.6,-1.3964936456604713,-2.203506354339529
2025-07-31,-3.6,-0.4150309137142232,-3.184969086285777
2025-08-31,-2.9,0.11459358301089928,-3.014593583010899
2025-09-30,-2.3,0.1938745794576251,-2.493874579457625
2025-10-31,-2.1,0.2015116520385103,-2.3015116520385104
2025-11-30,-2.2,-0.6687054722087877,-1.5312945277912124
2025-12-31,-1.9,-0.5325569341275473,-1.3674430658724526
2026-01-31,-1.4,-1.662904135285915,0.26290413528591516
2026-02-28,-0.9,-1.2499837926639632,0.3499837926639632
2026-03-31,0.5,-1.0847685452156135,1.5847685452156135
2026-04-30,2.8,0.4955624683669271,2.3044375316330727
2026-05-31,3.9,0.8403987350393693,3.0596012649606306
